dataset_id,candidate_id,kind,x_model,y_model,x_source,y_source,x_source_normalized,y_source_normalized,score,dino_local_contrast,dino_cls_attention
stagev3_0028,candidate_09,shape_corner,262.0,57.0,180.69111969111967,194.3281853281853,0.5377711895569037,0.11010095486016164,0.6344653014486726,0.9774929764415055,0.9983373387838912
stagev3_0028,candidate_10,dino_distinctive,277.0,125.0,231.8301158301158,426.15830115830113,0.6899705828277256,0.2414494624126352,0.62,1.0,1.0
stagev3_0028,candidate_11,dino_distinctive,278.0,306.0,235.23938223938222,1043.2355212355212,0.7001172090457805,0.591068283986131,0.62,1.0,1.0
stagev3_0028,candidate_12,dino_distinctive,278.0,324.0,235.23938223938222,1104.6023166023165,0.7001172090457805,0.6258370065735505,0.62,1.0,1.0
stagev3_0028,candidate_13,dino_distinctive,269.0,96.0,204.55598455598454,327.2895752895753,0.6087975730832873,0.18543318713290385,0.6195054885551432,1.0,0.9938186069392896
stagev3_0030,candidate_01,endpoint,265.0,186.0,240.7007722007722,648.8455598455599,0.5508026823816298,0.3592721815313178,1.0,1.0,1.0
stagev3_0030,candidate_02,endpoint,280.0,239.0,293.02702702702703,833.7316602316603,0.6705423959428536,0.46164543755905885,1.0,1.0,1.0
stagev3_0030,candidate_03,endpoint,264.0,280.0,237.21235521235522,976.7567567567568,0.5428200348108815,0.5408398431654245,0.9986611631655469,1.0,0.9832645395693347
stagev3_0030,candidate_04,endpoint,255.0,24.0,205.8166023166023,83.72200772200773,0.4709762066741472,0.04635770084275068,0.9969989923845258,0.987688388043677,0.9994222406755414
stagev3_0030,candidate_05,endpoint,252.0,5.0,195.35135135135135,17.442084942084943,0.44702826396190243,0.009657854342239725,0.9913198809832172,0.9701837676328483,0.9809472093916695
stagev3_0030,candidate_06,shape_corner,266.0,217.0,244.1891891891892,756.9864864864866,0.5587853299523781,0.4191508784532041,0.638941327888247,1.0,0.986766598603087
stagev3_0030,candidate_07,shape_corner,273.0,198.0,268.6081081081081,690.7065637065638,0.6146638629476159,0.38245103195269314,0.638529781370666,0.9969120193315743,0.9908862091386019
stagev3_0030,candidate_08,shape_corner,271.0,80.0,261.63127413127415,279.0733590733591,0.5986985678061193,0.1545256694758356,0.6381206546720438,0.9971351481561224,0.9851027389321808
stagev3_0030,candidate_09,shape_corner,279.0,261.0,289.53861003861005,910.476833976834,0.6625597483721054,0.5041399966649136,0.6377595774230138,1.0,0.9719947177876717
stagev3_0030,candidate_10,shape_corner,270.0,114.0,258.14285714285717,397.6795366795367,0.5907159202353711,0.2201990790030657,0.6377529206391965,0.991970852121614,0.9959989516251148
stagev3_0030,candidate_11,shape_corner,268.0,61.0,251.16602316602317,212.79343629343632,0.5747506250938745,0.11782582297532465,0.6361693614527598,0.9866099122659179,0.9922872813617439
stagev3_0030,candidate_12,shape_corner,256.0,117.0,209.30501930501933,408.14478764478764,0.4789588542448955,0.22599379160840954,0.6356273990289203,0.9823891504957138,0.9981750363743633
stagev3_0030,candidate_13,shape_corner,266.0,154.0,244.1891891891892,537.2162162162163,0.5587853299523781,0.2974619137409835,0.6355529380848811,0.9814705753536713,1.0
stagev3_0030,candidate_14,shape_corner,252.0,99.0,195.35135135135135,345.3532818532819,0.44702826396190243,0.19122551597634657,0.6347136710922544,0.9809614152684791,0.9910366428477424
stagev3_0030,candidate_15,shape_corner,263.0,42.0,233.72393822393823,146.51351351351352,0.5348373872401333,0.08112597647481369,0.6334046246206496,0.9793277578294947,0.9795745342696367
stagev3_0030,candidate_16,dino_distinctive,266.0,95.0,244.1891891891892,331.39961389961394,0.5587853299523781,0.1834992325025548,0.619996210412885,1.0,0.9999526301610624
stagev3_0030,candidate_17,dino_distinctive,268.0,231.0,251.16602316602317,805.8243243243244,0.5747506250938745,0.4461928706114753,0.6190913814069398,1.0,0.988642267586747
